Lon,Lat,Clave,Edo,Est,Tmax
-97.78,20.88,SBTVC,VER,Sombrerete Ver.,25.99285714
-97.68,20.93,ALAVC,VER,¡lamo Temapache Ver.,25.29166667
-97.4,20.96,TXPVC,VER,Tuxpan Ver.,25.65
-98.34,21.29,PSNVC,VER,PlatÛn S·nchez Ver.,25.125
-98.38,21.52,TMPVC,VER,Tempoal Ver.,28.07307692
-98.16,21.74,CHYVC,VER,Paso de Piedras Ver.,24.75416667
-98.44,21.78,HGOVC,VER,El Higo Ver.,28.23793103
-98.51,21.84,OLVVC,VER,El Olivo Ver.,26.73214286
-98.17,22.05,PNCVC,VER,P·nuco Ver.,24.47931034
-98.27,21.16,HLSVC,VER,Los Hules Ver.,27.43928571
-96.9,19.51,XALAPAob,VER,Observatorio de Xalapa Ver. SMN*,23.51176471
-94.16,17.57,TMOVC,VER,Tierra Morada Ver.,27.35185185
-95.52,18.63,NLTVC,VER,Naranjal Lerdo de Tejada Ver.,26.77777778
-97.24,19.58,PERVC,VER,Perote Ver.,17.67307692
-94.93,18.04,ACAYUCAN,VER,Acayucan Ver. SMN*,28.94193548
-94.33,18.11,LACVC,VER,La Cangrejera Ver. SMN*,29.32083333
-96.1,18.19,CDALEMAN,VER,Ciudad Alem·n Ver.*,27.92
-95.93,18.38,TUXTLASII,VER,Los Tuxtlas 2 Ver. SMN*,24.8047619
-95.07,18.58,TUXTLASI,VER,Los Tuxtlas 1 Ver. SMN*,20.72272727
-95.63,18.72,ALVVC,VER,Alvarado Ver. SMN*,26.43478261
-97.1,18.85,ORIZABAob,VER,Observatorio de Orizaba Ver. SMN*,22.94166667
-97.04,19.07,COSCOMATEPEC,VER,Coscomatepec CBT99 Ver. SMN*,21.69333333
-97.27,19.55,PEROTESMN,VER,Perote Ver. SMN*,19.35666667
-96.92,19.81,TNCVC,VER,Tenochtitl·n Ver.,26.55172414
-97.42,20.96,TUXPANob,VER,Observatorio de Tuxpan Ver. SMN*,25.684
-88.93,20.13,PETYC,YUC,Peto Yuc.,33.32258065
-89.39,20.29,OXKYC,YUC,Oxkutzcab Yuc.,28.56451613
-89.56,20.4,TICYC,YUC,Ticul Yuc.,28.87096774
-89.08,20.46,CANYC,YUC,Cantamayec Yuc.,29.68965517
-89.71,20.49,MUNYC,YUC,Muna Yuc.,30.88333333
-88.2,20.69,VALYC,YUC,Valladolid Yuc.,31.43666667
-89.83,20.75,CHOYC,YUC,Chochol· Yuc.,30.01724138
